Model,BLEU Score,Token Accuracy (%),Exact Match (%)
Vanilla RNN,0.2523526910850914,5.549695570895951,0.0
LSTM,0.001846568486626312,4.813426211189205,0.0
LSTM + Attention (Greedy),2.194624531840855,9.177780330642381,0.0
LSTM + Attention (Beam=3),2.288396793522206,9.285348761918687,0.0
